"job_id","job_title","job_location","salary_year_avg","company_name","required_skills"
40145,"Staff Data Scientist/Quant Researcher","Anywhere","550000.0","Selby Jennings","sql, python"
1714768,"Staff Data Scientist - Business Analytics","Anywhere","525000.0","Selby Jennings","sql"
627602,"Senior Data Scientist","Anywhere","375000.0","Algo Capital Group","python, sql, java, c++, cassandra, spark, hadoop, tableau"
1131472,"Data Scientist","Anywhere","375000.0","Algo Capital Group","java, tableau, hadoop, spark, cassandra, python, sql"
1480102,"Senior Machine Learning Engineer","Anywhere","325000.0","Harnham","scala, chef, docker, kubernetes, terraform, excel, aws, python, ansible"
21321,"Data Engineer","Anywhere","325000.0","Engtal","kubernetes, python, spark, pandas, numpy, pyspark, hadoop, kafka"
157003,"Data Engineer","Anywhere","325000.0","Engtal","spark, python, pyspark, numpy, pandas, kafka, kubernetes, hadoop"
1352714,"Principal Machine Learning Engineer","Anywhere","325000.0","Storm5","aws, python, sql, spark, airflow, gcp, kubernetes, docker, java"
126218,"Director Level - Product Management - Data Science","Anywhere","320000.0","Teramind","aws, keras, datarobot, scikit-learn, azure, pytorch, tensorflow"
226011,"Distinguished Data Scientist","Anywhere","300000.0","Walmart","pytorch, scala, java, spark, kubernetes, tensorflow"
